Movie, count
Les parapluies de Cherbourg,1
The Tie That Binds,1
Three Wishes,1
Total Eclipse,1
"To Wong Foo, Thanks for Everything! Julie Newmar",1
Under Siege 2: Dark Territory,1
Unstrung Heroes,1
Unzipped,1
A Walk in the Clouds,1
Waterworld,1
White Man's Burden,1
Wild Bill,2
The Browning Version,2
Bushwhacked,1
Утомлённые солнцем,1
Before the Rain,1
Before Sunrise,1
Billy Madison,1
The Babysitter,1
Boys on the Side,1
The Cure,2
Castle Freak,1
Circle of Friends,1
Clerks,1
Don Juan DeMarco,1
Disclosure,1
Dream Man,1
Drop Zone,1
Destiny Turns on the Radio,1
Death and the Maiden,1
Dolores Claiborne,1
Dumb and Dumber,1
飲食男女,1
Exotica,1
Exit to Eden,1
Ed Wood,1
French Kiss,1
Forget Paris,1
Far from Home: The Adventures of Yellow Dog,1
A Goofy Movie,1
Hideaway,1
Fluke,1
Farinelli,1
Gordy,1
Gumby: The Movie,1
The Glass Shield,1
Hoop Dreams,1
Heavenly Creatures,1
Houseguest,1
Immortal Beloved,1
Heavyweights,1
The Hunted,2
I.Q.,1
Interview with the Vampire,1
Jefferson in Paris,1
The Jerky Boys,1
Junior,2
Just Cause,1
A Kid in King Arthur's Court,1
Kiss of Death,2
Star Wars,1
Little Women,3
A Little Princess,2
Ladybird Ladybird,1
L'Enfer,2
Como agua para chocolate,1
Legends of the Fall,1
Major Payne,1
Little Odessa,1
Mi Vida Loca,1
Love Affair,2
Losing Isaiah,1
The Madness of King George,1
Frankenstein,8
Man of the House,2
Mixed Nuts,1
Milk Money,1
Miracle on 34th Street,2
Miami Rhapsody,1
My Family,1
Murder in the First,1
Nobody's Fool,2
Nell,1
New Jersey Drive,1
New York Cop,1
Beyond Bedlam,1
Nemesis 2 - Nebula,1
Nina Takes a Lover,1
Natural Born Killers,1
Only You,1
Once Were Warriors,1
Poison Ivy II: Lily,1
Outbreak,1
Léon,1
The Perez Family,1
A Pyromaniac's Love Story,1
Pulp Fiction,1
Panther,1
Pushing Hands,1
Priest,2
Quiz Show,1
Picture Bride,1
La Reine Margot,1
The Quick and the Dead,2
Roommates,1
Prêt-à-Porter,1
Trois couleurs : Rouge,1
Trois couleurs : Bleu,1
Trois couleurs : Blanc,1
Pao Da Shuang Deng,1
Rent-a-Kid,1
Relative Fear,1
Stuart Saves His Family,1
The Swan Princess,1
The Secret of Roan Inish,1
The Specialist,1
Stargate,1
The Santa Clause,1
The Shawshank Redemption,1
Shallow Grave,1
Suture,1
Fresa y chocolate,1
Swimming with Sharks,1
The Sum of Us,1
Senior Trip,1
活着,1
Tank Girl,1
Tales from the Crypt: Demon Knight,1
Star Trek: Generations,1
Tales from the Hood,1
Tom & Viv,1
Village of the Damned,2
Tommy Boy,1
Vanya on 42nd Street,1
The Underneath,2
The Walking Dead,2
What's Eating Gilbert Grape,1
Virtuosity,1
While You Were Sleeping,1
The War,2
Double Happiness,1
Muriel's Wedding,1
The Baby-Sitters Club,1
Ace Ventura: Pet Detective,1
"The Adventures of Priscilla, Queen of the Desert",1
Backbeat,1
Bitter Moon,1
Bullets Over Broadway,1
Clear and Present Danger,1
The Client,1
"Corrina, Corrina",1
Crooklyn,1
The Crow,1
Cobb,1
The Flintstones,1
Forrest Gump,1
Four Weddings and a Funeral,1
Higher Learning,1
I Like It Like That,1
I Love Trouble,2
It Could Happen to You,1
The Jungle Book,3
Die Macht der Bilder: Leni Riefenstahl,1
The Lion King,1
Little Buddha,1
New Nightmare,1
The Mask,2
Maverick,1
Mrs. Parker and the Vicious Circle,1
The Naked Gun 33⅓: The Final Insult,1
The Paper,1
Reality Bites,1
Red Rock West,1
Ri¢hie Ri¢h,1
Safe Passage,1
The River Wild,1
Speed,1
Speechless,1
Timecop,1
True Lies,1
When a Man Loves a Woman,1
Wolf,2
Wyatt Earp,1
Bad Company,3
A Man of No Importance,1
S.F.W.,1
A Low Down Dirty Shame,1
"Boys Life: Three Stories of Love, Lust, and Liberation",1
Le colonel Chabert,1
"Faster, Pussycat! Kill! Kill!",1
Jason's Lyric,1
The Secret Adventures of Tom Thumb,1
Street Fighter,1
Coldblooded,1
Desert Winds,1
Fall Time,1
The Fear,1
Frank and Ollie,1
Girl in the Cadillac,1
Homage,1
Mirage,2
Open Season,2
Dos Crímenes,1
Brother Minister: The Assassination of Malcolm X,1
Highlander III: The Sorcerer,1
Federal Hill,1
In the Mouth of Madness,1
8 Seconds,1
Above the Rim,1
Addams Family Values,1
Martin Lawrence: You So Crazy,1
The Age of Innocence,2
Airheads,1
The Air Up There,1
Another Stakeout,1
Bad Girls,1
Barcelona,1
Being Human,1
The Beverly Hillbillies,1
Beverly Hills Cop III,1
Black Beauty,2
Blink,1
Blown Away,2
Blue Chips,1
Blue Sky,1
Body Snatchers,1
Boxing Helena,1
A Bronx Tale,1
Cabin Boy,1
Calendar Girl,1
Carlito's Way,1
City Slickers II: The Legend of Curly's Gold,1
Clean Slate,1
Cliffhanger,1
Coneheads,1
Color of Night,1
Cops & Robbersons,1
The Cowboy Way,1
Dangerous Game,1
Dave,1
Dazed and Confused,1
Demolition Man,1
The Endless Summer 2,1
Even Cowgirls Get the Blues,1
Fatal Instinct,1
霸王别姬,1
The Favor,1
Fearless,1
Fear of a Black Hat,1
With Honors,1
Flesh and Bone,1
Widows' Peak,1
For Love or Money,2
The Firm,2
Free Willy,1
Fresh,2
The Fugitive,2
Geronimo: An American Legend,1
The Getaway,2
Getting Even with Dad,1
Go Fish,1
A Good Man in Africa,1
Guilty as Sin,1
Hard Target,1
Heaven & Earth,1
Hot Shots! Part Deux,1
Live Nude Girls,1
The Englishman Who Went Up a Hill But Came Down a Mountain,1
The House of the Spirits,1
House Party 3,1
The Hudsucker Proxy,1
I'll Do Anything,1
In the Army Now,1
In the Line of Fire,1
In the Name of the Father,1
The Inkwell,1
What's Love Got to Do with It,1
Jimmy Hollywood,1
Judgment Night,1
Jurassic Park,1
Kalifornia,1
Killing Zoe,1
King of the Hill,1
Lassie,2
Last Action Hero,1
Life With Mikey,1
Lightning Jack,1
M. Butterfly,1
Made in America,1
Malice,1
The Man without a Face,1
Manhattan Murder Mystery,1
Menace II Society,1
Executive Decision,1
愛のコリーダ,1
What Happened Was...,1
Much Ado About Nothing,2
Mr. Jones,2
Mr. Wonderful,1
Mrs. Doubtfire,1
Naked,2
The Next Karate Kid,1
The New Age,1
No Escape,2
North,1
Orlando,1
A Perfect World,1
Philadelphia,1
The Piano,1
Poetic Justice,1
The Program,2
The Puppet Masters,1
Radioland Murders,1
The Ref,1
The Remains of the Day,1
Renaissance Man,1
Rising Sun,1
The Road to Wellville,1
RoboCop 3,1
Robin Hood: Men in Tights,1
Romeo Is Bleeding,1
Romper Stomper,1
Ruby in Paradise,1
Rudy,1
The Saint of Fort Washington,1
Les Nuits Fauves,1
Schindler's List,1
The Scout,1
Searching for Bobby Fischer,1
Second Best,1
The Secret Garden,3
Serial Mom,1
The Shadow,1
Shadowlands,1
Short Cuts,1
A Simple Twist of Fate,1
Sirens,1
Six Degrees of Separation,1
Sleepless in Seattle,1
Sliver,1
Blade Runner,1
Son in Law,1
So I Married an Axe Murderer,1
Striking Distance,1
Harem,1
Super Mario Bros.,1
Surviving the Game,1
Terminal Velocity,1
Thirty Two Short Films About Glenn Gould,1
Threesome,1
The Nightmare Before Christmas,1
The Three Musketeers,7
Tombstone,1
Trial by Jury,1
True Romance,1
The War Room,1
The Pagemaster,1
"Paris, France",1
"The Beans of Egypt, Maine",1
Killer,1
Welcome to the Dollhouse,1
Germinal,1
Chasers,1
Cronos,1
Naked in New York,1
Kika,1
Bhaji on the Beach,1
Little Big League,1
Kådisbellan,1
Wide Eyed and Legless,1
Foreign Student,1
Io speriamo che me la cavo,1
Spanking the Monkey,1
The Little Rascals,1
À la mode,1
Andre,1
La scorta,1
Princess Caraboo,1
The Celluloid Closet,1
Métisse,1
Caro diario,1
De eso no se habla,1
The Brady Bunch Movie,1
Home Alone,1
Ghost,2
Aladdin,1
Terminator 2: Judgment Day,1
Dances with Wolves,1
Tough and Deadly,1
Batman,2
The Silence of the Lambs,1
Snow White and the Seven Dwarfs,1
Beauty and the Beast,5
Pinocchio,4
Pretty Woman,1
Окно в Париж,1
The Wild Bunch,1
Love and a .45,1
The Wooden Man's Bride,1
A Great Day in Harlem,1
Bye Bye Love,1
One Fine Day,1
Candyman: Farewell to the Flesh,1
Century,1
Fargo,1
Homeward Bound II: Lost in San Francisco,1
Heavy Metal,1
Hellraiser: Bloodline,1
The Pallbearer,1
Jane Eyre,6
Loaded,3
Pane e cioccolata,1
The Aristocats,1
La flor de mi secreto,1
Two Much,1
Ed,1
Schrei aus Stein,1
Ma saison préférée,1
A Modern Affair,1
Condition Red,1
Asfour Stah,1
A Thin Line Between Love and Hate,1
The Last Supper,1
Primal Fear,1
Rude,1
Carried Away,1
All Dogs Go to Heaven 2,1
Land and Freedom,1
Denise Calls Up,1
Theodore Rex,1
A Family Thing,1
Frisk,1
Sgt. Bilko,1
Jack & Sarah,1
Girl 6,1
Diabolique,1
Un indien dans la ville,1
Roula - Dunkle Geheimnisse,1
Peanuts – Die Bank zahlt alles,1
Happy Weekend,1
Nelly & Monsieur Arnaud,1
Courage Under Fire,1
Mission: Impossible,1
Á köldum klaka,1
Moll Flanders,1
Das Superweib,1
삼공일 삼공이,1
DragonHeart,1
Und keiner weint mir nach,1
My Mother's Courage,1
Eddie,1
Yankee Zulu,1
Billy's Holiday,1
Plein soleil,1
August,3
James and the Giant Peach,1
Fear,2
Kids in the Hall: Brain Candy,1
Faithful,1
Podzemlje,1
Lust och fägring stor,1
Bloodsport II,1
পথের পাঁচালী,1
অপুর সংসার,1
Mystery Science Theater 3000: The Movie,1
Tarantella,1
Space Jam,1
Barbarella,1
Hostile Intentions,1
They Bite,1
Some Folks Call It a Sling Blade,1
The Run of the Country,1
"Alphaville, une étrange aventure de Lemmy Caution",1
Coup de torchon,1
Tigrero: A Film That Was Never Made,1
L'oeil de Vichy,1
Windows,1
It's My Party,1
Country Life,1
Operation Dumbo Drop,1
Das Versprechen,9
Mrs. Winterbourne,1
Solo,3
Etz Hadomim Tafus,1
The Substitute,2
True Crime,2
Butterfly Kiss,1
Feeling Minnesota,1
Delta of Venus,1
To Cross the Rubicon,1
Angus,1
Daens,1
Faces,1
Boys,1
The Quest,1
Cosi,1
Sunset Park,1
Mulholland Falls,1
The Truth About Cats & Dogs,1
Oliver & Company,1
Celtic Pride,1
Flipper,2
Captives,1
Of Love and Shadows,1
Dead Man,1
Le Hussard sur le toit,1
Switchblade Sisters,1
Boca a boca,1
Les visiteurs,1
Multiplicity,1
"The Haunted World of Edward D. Wood, Jr.",1
Due Amici,1
The Craft,1
The Great White Hype,1
Last Dance,1
War Stories Our Mother Never Told Us,1
Cold Comfort Farm,1
"Institute Benjamenta, or This Dream People Call Human Life",1
Heaven's Prisoners,1
Original Gangstas,1
The Rock,1
Getting Away with Murder,1
Dellamorte Dellamore,1
Twister,2
Barb Wire,1
Le garçu,1
Honigmond,1
GHOST IN THE SHELL,1
Thinner,1
Spy Hard,1
Brothers in Trouble,1
A Close Shave,1
Force of Evil,1
The Stupids,1
The Arrival,1
The Man from Down Under,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1
Careful,1
Vermont Is for Lovers,1
A Month by the Lake,1
Gold Diggers: The Secret of Bear Mountain,1
Kim,1
Carmen Miranda: Bananas Is My Business,1
東邪西毒,1
Khomreh,1
Maya Lin: A Strong Clear Vision,1
Stalingrad,1
The Phantom,3
Striptease,1
The Last of the High Kings,1
Heavy,1
Jack,3
I Shot Andy Warhol,1
The Grass Harp,1
Tuđa Amerika,1
La vie est belle,1
Quartier Mozart,1
Touki-Bouki,1
Wend Kuuni,1
Histoires extraordinaires,1
Babyfever,1
Pharaoh's  Army,1
Trainspotting,1
Til There Was You,1
Independence Day,1
Stealing Beauty,1
The Fan,2
The Hunchback of Notre Dame,3
The Cable Guy,1
Kingpin,1
Eraser,1
The Gate of Heavenly Peace,1
The Nutty Professor,2
"Yo, la peor de todas",1
Un été inoubliable,1
"Hol volt, hol nem volt",1
En compagnie d'Antonin Artaud,1
Sibak,1
Somebody to Love,1
A Very Natural Thing,1
La vieille qui marchait dans la mer,1
Daylight,2
The Frighteners,1
Lone Star,1
Harriet the Spy,1
Phenomenon,1
Walking and Talking,1
She's the One,1
A Time to Kill,1
American Buffalo,1
Les Rendez-vous de Paris,1
Alaska,1
Fled,1
Kazaam,1
Bűvös vadász,1
Larger Than Life,1
A Boy Called Hate,1
Power 98,1
Two Deaths,1
A Very Brady Sequel,1
Stefano Quantestorie,1
La mort en ce jardin,1
Hedd Wyn,1
La Collectionneuse,1
Kaspar Hauser,1
Echte Kerle,1
Diebinnen,1
O Convento,1
The Adventures of Pinocchio,1
Joe's Apartment,1
The First Wives Club,1
Stonewall,3
Ransom,2
High School High,1
Phat Beach,1
Foxfire,2
Chain Reaction,2
Matilda,2
Emma,5
The Crow: City of Angels,1
House Arrest,1
Les Yeux sans visage,1
Bordello of Blood,1
Lotto Land,1
The Story of Xinghua,1
天國逆子,1
Flirt,1
The Big Squeeze,1
The Spitfire Grill,1
Escape from L.A.,1
Xích lô,1
Basquiat,1
Tin Cup,1
Dingo,1
楢山節考,2
Un week-end sur deux,1
Mille bolle blu,1
Wuya yu maque,1
The Godfather,1
Der bewegte Mann,1
警察故事 III：超級警察,1
Manny & Lo,1
Tsuma,8
Small Faces,1
Bound,2
Carpool,1
Death in Brunswick,1
Kansas City,1
Gone Fishin',1
Lover's Knot,1
愛情萬歲,1
Schatten der Engel,1
Killer: A Journal of Murder,1
Nothing to Lose,2
超级计划,1
Girls Town,2
Bye-Bye,1
The Relic,1
The Island of Dr. Moreau,2
First Kid,1
The Trigger Effect,1
Sweet Nothing,1
Bogus,1
Bulletproof,2
Talk of Angels,1
The Land Before Time III: The Time of the Great Giving,1
06,1
Baton Rouge,1
Halloween: The Curse of Michael Myers,1
Twelfth Night,1
Mother Night,1
Liebelei,1
Wenecja,1
Les Roseaux Sauvages,1
For Whom the Bell Tolls,1
The Philadelphia Story,1
Singin' in the Rain,1
An American in Paris,1
Funny Face,1
Breakfast at Tiffany's,1
Vertigo,1
Rear Window,2
It Happened One Night,1
Gaslight,2
The Gay Divorcee,1
North by Northwest,1
The Apartment,1
Some Like It Hot,1
Charade,1
Casablanca,1
The Maltese Falcon,2
My Fair Lady,1
Roman Holiday,1
The Little Princess,1
Meet Me in St. Louis,1
The Wizard of Oz,2
Gone with the Wind,1
My Favorite Year,1
Sunset Boulevard,1
Citizen Kane,1
2001: A Space Odyssey,1
Golden Earrings,1
All About Eve,1
The Women,2
Rebecca,1
Foreign Correspondent,1
Notorious,2
Spellbound,2
An Affair to Remember,1
To Catch a Thief,1
Father of the Bride,2
The Band Wagon,1
Ninotchka,1
Love in the Afternoon,1
Gigi,2
The Reluctant Debutante,1
The Adventures of Robin Hood,1
The Mark of Zorro,2
Laura,1
The Ghost and Mrs. Muir,1
Lost Horizon,2
Top Hat,1
To Be or Not to Be,2
My Man Godfrey,2
Giant,1
East of Eden,1
The Thin Man,1
His Girl Friday,1
Around the World in Eighty Days,1
It's a Wonderful Life,1
Mr. Smith Goes to Washington,1
Bringing Up Baby,1
Penny Serenade,1
Lady of Burlesque,1
Of Human Bondage,1
Angel on My Shoulder,1
Little Lord Fauntleroy,2
They Made Me a Criminal,1
The Inspector General,1
Angel and the Badman,1
The 39 Steps,3
A Walk in the Sun,1
The Outlaw,1
Night of the Living Dead,2
The African Queen,1
Beat the Devil,1
Cat on a Hot Tin Roof,1
The Last Time I Saw Paris,1
Meet John Doe,1
Algiers,1
Something to Sing About,2
A Farewell to Arms,8
Moonlight Murder,1
Nothing Personal,2
Huang jia shi jie,1
Dangerous Ground,1
Picnic,1
Madagascar Skin,1
The Pompatus of Love,1
Small Wonders,1
Fly Away Home,1
Bliss,2
Grace of My Heart,1
Schlafes Bruder,1
Maximum Risk,1
Michael Collins,1
The Rich Man's Wife,1
Infinity,1
Big Night,1
Last Man Standing,2
Caught,5
Set It Off,1
2 Days in the Valley,1
Curdled,1
L'associé,1
Ed's Next Move,1
Extreme Measures,1
The Glimmer Man,1
D3: The Mighty Ducks,1
The Chamber,1
The Apple Dumpling Gang,1
"Davy Crockett, King of the Wild Frontier",1
Escape to Witch Mountain,2
The Love Bug,3
Herbie Rides Again,1
Old Yeller,1
The Parent Trap,2
Pollyanna,2
Homeward Bound: The Incredible Journey,1
The Shaggy Dog,2
Swiss Family Robinson,1
That Darn Cat!,1
"20,000 Leagues Under the Sea",4
Cool Runnings,1
Angels in the Outfield,2
Cinderella,9
Winnie the Pooh and the Blustery Day,1
The Three Caballeros,1
The Sword in the Stone,1
So Dear to My Heart,1
Robin Hood: Prince of Thieves,1
Mary Poppins,1
Dumbo,1
Pete's Dragon,2
Bedknobs and Broomsticks,1
Alice in Wonderland,8
The Fox and the Hound,1
Freeway,2
The Sound of Music,1
Die Hard,1
The Lawnmower Man,1
Unhook the Stars,1
Synthetic Pleasures,1
The Secret Agent,1
Secrets & Lies,1
That Thing You Do!,1
To Gillian on Her 37th Birthday,1
Surviving Picasso,1
Love Is All There Is,1
Beautiful Thing,1
The Long Kiss Goodnight,1
The Ghost and the Darkness,1
Looking for Richard,1
Trees Lounge,1
The Proprietor,1
Normal Life,1
Get on the Bus,1
Shadow Conspiracy,1
Jude,1
Everyone Says I Love You,1
Azúcar amarga,1
Romeo + Juliet,1
Swingers,2
Sleepers,1
The Sunchaser,1
Johns,1
Aladdin and the King of Thieves,1
The Woman in Question,1
Shall We Dance,1
A Damsel in Distress,1
Crossfire,1
"Murder, My Sweet",1
Macao,1
For the Moment,1
Willy Wonka & the Chocolate Factory,1
La vie sexuelle des Belges 1950-1978,1
The Innocents,1
Sleeper,1
Bananas,1
A Fish Called Wanda,1
Life of Brian,1
Victor/Victoria,1
The Candidate,1
The Great Race,1
Bonnie and Clyde,1
The Old Man and the Sea,2
Dial M for Murder,1
Madame Butterfly,1
Dirty Dancing,2
Reservoir Dogs,1
Platoon,1
Weekend at Bernie's,1
Basic Instinct,1
The Doors,1
The Crying Game,1
Glengarry Glen Ross,1
Sophie's Choice,1
E.T. the Extra-Terrestrial,1
The Search for One-eye Jimmy,1
A Christmas Carol,7
Days of Thunder,1
Top Gun,1
American Strays,1
Rebel Without a Cause,1
A Streetcar Named Desire,3
Children of the Corn IV: The Gathering,1
The Leopard Son,1
Charms Zwischenfälle,1
Bird of Prey,1
Microcosmos : Le Peuple de l'herbe,1
Palookaville,1
The Associate,1
The Funeral,1
The Sleepover,1
La fille seule,1
Le huitième jour,1
North Star,1
Drunks,1
The People vs. Larry Flynt,1
Glory Daze,1
A Perfect Candidate,1
On Golden Pond,1
The Return of the Pink Panther,1
Drop Dead Fred,1
The Abyss,1
The Fog,2
Escape from New York,1
The Howling,1
Jean de Florette,1
Manon des Sources,1
Johnny cien pesos,1
Private Benjamin,1
Monty Python and the Holy Grail,1
Hustler White,1
Dadetown,1
Everything Relative,1
Entertaining Angels - The Dorothy Day Story,1
Trois vies et une seule mort,1
The Line King: The Al Hirschfeld Story,1
Snowriders,1
Curtis's Charm,1
When We Were Kings,1
The Wrong Trousers,1
JLG/JLG - autoportrait de décembre,1
Le Retour de Martin Guerre,1
Faust,3
He Walked by Night,1
Raw Deal,2
T-Men,1
I bambini ci guardano,1
La symphonie pastorale,1
Here Comes Cookie,1
Love In Bloom,1
Six of a Kind,1
Die Blechtrommel,1
The Ruling Class,1
Mina Tannenbaum,1
Deux ou trois choses que je sais d'elle,1
The Bloody Child,1
Dear God,1
Bad Moon,1
American Dream,1
Best of the Best 3: No Turning Back,1
Bob Roberts,1
Nuovo Cinema Paradiso,1
"The Cook, the Thief, His Wife & Her Lover",1
Grosse fatigue,1
Delicatessen,1
La double vie de Véronique,1
Enchanted April,2
Paths of Glory,1
The Grifters,1
Hear My Song,1
The Shooter,1
The English Patient,1
Mediterraneo,1
My Left Foot: The Story of Christy Brown,1
"Sex, Lies, and Videotape",1
Passion Fish,1
Strictly Ballroom,1
The Thin Blue Line,1
¡Átame!,1
Madonna: Truth or Dare,1
Paris is Burning,1
One Flew Over the Cuckoo's Nest,1
Up in Smoke,1
The Empire Strikes Back,1
The Princess Bride,1
Raiders of the Lost Ark,1
Brazil,1
Aliens,1
"Il buono, il brutto, il cattivo",1
Withnail & I,1
12 Angry Men,2
Lawrence of Arabia,1
A Clockwork Orange,1
To Kill a Mockingbird,1
Apocalypse Now,1
C'era una volta il West,1
Return of the Jedi,1
Der Himmel über Berlin,1
The Third Man,1
GoodFellas,1
Alien,1
Army of Darkness,1
Le Grand Bleu,1
乱,1
喋血雙雄,1
Psycho,2
The Blues Brothers,1
The Godfather: Part II,1
Full Metal Jacket,1
A Grand Day Out,1
Henry V,1
Amadeus,1
The Quiet Man,1
Once Upon a Time in America,1
Raging Bull,1
Annie Hall,1
The Right Stuff,1
Сталкер,1
Das Boot,1
The Sting,1
Harold and Maude,1
Trust,2
Det sjunde inseglet,1
Local Hero,1
The Terminator,1
Braindead,1
Glory,1
Rosencrantz & Guildenstern Are Dead,1
Manhattan,1
Miller's Crossing,1
Dead Poets Society,1
The Graduate,1
Touch of Evil,1
Nikita,1
The Bridge on the River Kwai,1
8½,1
Chinatown,1
The Day the Earth Stood Still,2
The Treasure of the Sierra Madre,1
Bad Taste,1
Duck Soup,1
Better Off Dead...,1
The Shining,1
Stand by Me,1
M,2
Evil Dead II,1
The Great Escape,1
The Deer Hunter,1
Diva,1
Groundhog Day,1
Unforgiven,1
The Manchurian Candidate,2
Pump up the Volume,1
Arsenic and Old Lace,1
Back to the Future,1
Fried Green Tomatoes,1
Patton,1
Down by Law,1
アキラ,1
Highlander,1
Cool Hand Luke,1
Cyrano de Bergerac,2
Young Frankenstein,1
Night on Earth,1
大红灯笼高高挂,1
The Great Dictator,1
Fantasia,1
High Noon,2
The Big Sleep,2
Heathers,1
Somewhere in Time,1
Ben-Hur,2
This Is Spinal Tap,1
Koyaanisqatsi,1
Some Kind of Wonderful,1
Indiana Jones and the Last Crusade,1
Being There,1
Gandhi,1
The Unbearable Lightness of Being,1
A Room with a View,1
Real Genius,1
Pink Floyd: The Wall,1
The Killing Fields,1
Mitt liv som hund,1
Forbidden Planet,1
Field of Dreams,1
The Man Who Would Be King,1
Butch Cassidy and the Sundance Kid,1
"Paris, Texas",1
Bis ans Ende der Welt,1
When Harry Met Sally...,1
I Shot a Man in Vegas,1
Parallel Sons,1
Hype!,1
Santa with Muscles,1
Female Perversions,1
Mad Dog Time,1
Breathing Room,2
Paris Was a Woman,1
I'm Not Rappaport,1
Blue Juice,1
Kids of Survival,1
Alien³,1
An American Werewolf in London,1
Amityville: It's About Time,1
Amityville 3-D,1
Amityville: Dollhouse,1
Amityville: A New Generation,1
Amityville II: The Possession,1
The Amityville Horror,2
The Amityville Curse,1
Blood for Dracula,1
April Fool's Day,2
Audrey Rose,1
The Believers,1
The Birds,1
The Blob,2
Blood Beach,1
Body Parts,1
The Body Snatcher,1
Dracula,3
Bride of Frankenstein,1
Burnt Offerings,1
Candyman,1
Cape Fear,2
Carrie,4
Cat People,2
A Nightmare on Elm Street,2
"Nosferatu, eine Symphonie des Grauens",1
Nosferatu a Venezia,1
The Omen,2
Blood and Wine,1
Albino Alligator,1
The Mirror Has Two Faces,1
Breaking the Waves,1
Nightwatch,1
Star Trek: First Contact,1
Shine,1
Sling Blade,1
Jingle All the Way,1
Identificazione di una donna,1
Paradise Lost: The Child Murders at Robin Hood Hills,1
The Preacher's Wife,1
Kjærlighetens kjøtere,1
Ridicule,1
The Crucible,1
101 Dalmatians,1
Il Cristo proibito,1
J'ai pas sommeil,1
